Variable Information,,,,,,,,,
Variable,Position,Label,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,
survey,1,Survey,Scale,Input,10,Right,F8,F8,
country,2,Country,Scale,Input,10,Right,F8,F8,
weight,3,Weight,Scale,Input,10,Right,F8.2,F8.2,
id,4,Respondent ID,Scale,Input,10,Right,F2,F2,
econ_sit,5,"Q1. How would you describe the current economic situation in (survey country) – is it very good, somewhat good, somewhat bad or very bad?",Nominal,Input,10,Right,F2,F2,
satisfied_democracy,6,"Q2A. How satisfied are you with the way democracy is working in (survey country) – very satisfied, somewhat satisfied, not too satisfied, or not at all satisfied?",Nominal,Input,21,Right,F2,F2,
polsys_satisfied,7,"Q2B. [FORM 2] How satisfied are you with the way the political system is working in (survey country) – very satisfied, somewhat satisfied, not too satisfied, or not at all satisfied?",Nominal,Input,18,Right,F2,F2,
fav_us,8,"Q3a. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? a. The United States",Nominal,Input,8,Right,F2,F2,
fav_china,9,"Q3b. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? b. China",Nominal,Input,11,Right,F2,F2,
fav_eu,10,"Q3c. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? c. The European Union",Nominal,Input,8,Right,F2,F2,
fav_un,11,"Q3d. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? d. The United Nations",Nominal,Input,8,Right,F2,F2,
fav_nato,12,"Q3e. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? e. NATO, that is, North Atlantic Treaty Organization",Nominal,Input,10,Right,F2,F2,
fav_russia,13,"Q3f. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? f. Russia",Nominal,Input,12,Right,F2,F2,
fav_israel,14,"Q3g. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? g. Israel",Nominal,Input,12,Right,F2,F2,
fav_india,15,"Q3h. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? h. India",Nominal,Input,11,Right,F2,F2,
fav_safrica,16,"Q3i. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? i. South Africa",Nominal,Input,13,Right,F2,F2,
fav_kenya,17,"Q3j. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? j. Kenya",Nominal,Input,11,Right,F2,F2,
fav_nigeria,18,"Q3k. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? k. Nigeria",Nominal,Input,13,Right,F2,F2,
